inn,aliases
S-107,
S48168,ARM200
reldesemtiv,
tirasemtiv,
BPC-157,
"2,4-dinitrophenol",
1-Androstenediol,
1-Androstenedione,
1-Androsterone,
1-Epiandrosterone,
1-Testosterone,
4-Androstenediol,
4-Hydroxytestosterone,
5-Androstenedione,
7α-Hydroxy-DHEA,
7β-Hydroxy-DHEA,
7-Keto-DHEA,
11β-Methyl-19-nortestosterone,
17α-Methylepithiostanol,
19-Norandrostenediol,
19-Norandrostenedione,
"Androst-4-ene-3,11,17-trione",
Androstanolone,
Androstenediol,
Androstenedione,
Bolasterone,
Boldenone,
Boldione,
Calusterone,
Clostebol,
Danazol,
Dehydrochlormethyltestosterone,
Desoxymethyltestosterone,
Dimethandrolone,
Drostanolone,
Epiandrosterone,
Epi-dihydrotestosterone,
Epitestosterone,
Ethylestrenol,
Fluoxymesterone,
Formebolone,
Furazabol,
Gestrinone,
Mestanolone,
Mesterolone,
Metandienone,
Metenolone,
Methandriol,
Methasterone,
Methyl-1-testosterone,
Methylclostebol,
Methyldienolone,
Methylnortestosterone,
Methyltestosterone,
Metribolone,
Mibolerone,
Nandrolone,
Norboletone,
Norclostebol,
Norethandrolone,
Oxabolone,
Oxandrolone,
Oxymesterone,
Oxymetholone,
Prasterone,
Prostanozol,
Quinbolone,
Stanozolol,
Stenbolone,
Testosterone,
Tetrahydrogestrinone,
Tibolone,
Trenbolone,
Trestolone,
Clenbuterol,
Osilodrostat,
Ractopamine,
Zeranol,
Zilpaterol,
Andarine,
Enobosarm,
LGD-4033,
RAD140,
S-23,
YK-11,
darbepoetins,
erythropoietins,
EPO-Fc,
methoxy polyethylene glycol-epoetin beta,
CNTO-530,
peginesatide,
cobalt,
daprodustat,
IOX2,
molidustat,
roxadustat,
vadadustat,
xenon,
K-11706,
luspatercept,
sotatercept,
asialo EPO,
carbamylated EPO,
chorionic gonadotrophin,
luteinizing hormone,
gonadorelin,
buserelin,
deslorelin,
goserelin,
histrelin,
leuprorelin,
nafarelin,
triptorelin,
